experiment_id,metric,platform_a,value_a,platform_b,value_b,delta,status
cal_ensemble_hechms_glue@HECHMS,KGE,macos,0.741996,native_windows,0.741996,0.000000,OK
cal_ensemble_hype_ga@HYPE,KGE,macos,0.741416,native_windows,0.054442,0.686974,DIFF
run_1@FUSE,KGE,macos,0.940298,native_windows,0.940298,0.000000,OK
run_1@GSFLOW,KGE,macos,0.797764,native_windows,0.800698,0.002934,OK
run_1@HBV,KGE,macos,0.887206,native_windows,0.887254,0.000048,OK
run_1@HECHMS,KGE,macos,0.820375,native_windows,0.852517,0.032141,DIFF
run_1@TOPMODEL,KGE,macos,0.538944,native_windows,0.953393,0.414450,EXPLAINED
run_1@XINANJIANG,KGE,macos,0.492508,native_windows,0.914235,0.421727,EXPLAINED
bow_exp3_joint@SUMMA,KGE,macos,0.842957,wsl,0.851716,0.008759,OK
bow_exp4_moead_joint@SUMMA,KGE,macos,0.866988,wsl,0.741312,0.125676,DIFF
cal_ensemble_fuse_abc@FUSE,KGE,macos,0.870525,wsl,0.870525,0.000000,OK
cal_ensemble_fuse_basin_hopping@FUSE,KGE,macos,0.862520,wsl,0.848325,0.014195,OK
cal_ensemble_fuse_bayesian_opt@FUSE,KGE,macos,0.835567,wsl,0.835567,0.000000,OK
cal_ensemble_fuse_cmaes@FUSE,KGE,macos,0.909039,wsl,0.908427,0.000612,OK
cal_ensemble_fuse_dds@FUSE,KGE,macos,0.909638,wsl,0.909638,0.000000,OK
cal_ensemble_fuse_de@FUSE,KGE,macos,0.908488,wsl,0.908488,0.000000,OK
cal_ensemble_fuse_dream@FUSE,KGE,macos,0.872713,wsl,0.872713,0.000000,OK
cal_ensemble_fuse_ga@FUSE,KGE,macos,0.887208,wsl,0.887208,0.000000,OK
cal_ensemble_fuse_glue@FUSE,KGE,macos,0.851469,wsl,0.851469,0.000000,OK
cal_ensemble_fuse_nelder_mead@FUSE,KGE,macos,0.894987,wsl,0.895090,0.000103,OK
cal_ensemble_fuse_nsga2@FUSE,KGE,macos,0.898192,wsl,0.907447,0.009255,OK
cal_ensemble_fuse_pso@FUSE,KGE,macos,0.910320,wsl,0.910320,0.000000,OK
cal_ensemble_fuse_sa@FUSE,KGE,macos,0.891930,wsl,0.891930,0.000000,OK
cal_ensemble_fuse_sceua@FUSE,KGE,macos,0.890818,wsl,0.890818,0.000000,OK
cal_ensemble_hype_abc@HYPE,KGE,macos,0.686033,wsl,0.686033,0.000000,OK
cal_ensemble_hype_basin_hopping@HYPE,KGE,macos,0.355703,wsl,0.355705,0.000003,OK
cal_ensemble_hype_bayesian_opt@HYPE,KGE,macos,0.474379,wsl,0.474379,0.000000,OK
cal_ensemble_hype_cmaes@HYPE,KGE,macos,0.813324,wsl,0.690405,0.122919,EXPLAINED
cal_ensemble_hype_dds@HYPE,KGE,macos,0.849389,wsl,0.849389,0.000000,OK
cal_ensemble_hype_de@HYPE,KGE,macos,0.806661,wsl,0.806661,0.000000,OK
forcing_ensemble_aorc@SUMMA,RMSE,macos,-306.044308,wsl,-386.303051,80.258743,DIFF
forcing_ensemble_conus404@SUMMA,RMSE,macos,-305.397516,wsl,-306.164913,0.767397,OK
forcing_ensemble_rdrs@SUMMA,RMSE,macos,-208.590593,wsl,-211.913747,3.323155,OK
run_1@CRHM,KGE,macos,0.931757,wsl,0.929350,0.002407,OK
run_1@FUSE,KGE,macos,0.940298,wsl,0.940298,0.000000,OK
run_1@GSFLOW,KGE,macos,0.797764,wsl,0.800698,0.002934,OK
run_1@HBV,KGE,macos,0.887206,wsl,0.887254,0.000048,OK
run_1@HECHMS,KGE,macos,0.820375,wsl,0.852517,0.032141,DIFF
run_1@SACSMA,KGE,macos,0.020935,wsl,0.881684,0.860749,DIFF
run_1@SUMMA,KGE,macos,0.892932,wsl,0.791400,0.101532,EXPLAINED
run_1@SWAT,KGE,macos,0.805827,wsl,0.781713,0.024114,DIFF
run_1@TOPMODEL,KGE,macos,0.538944,wsl,0.953393,0.414450,EXPLAINED
run_1@XINANJIANG,KGE,macos,0.492508,wsl,0.914235,0.421727,EXPLAINED
cal_ensemble_hbv_abc@HBV,KGE,macos_p3repro,0.888122,native_windows,0.888122,0.000000,OK
cal_ensemble_hbv_adam@HBV,KGE,macos_p3repro,0.937269,native_windows,0.937269,0.000000,OK
cal_ensemble_hbv_basin_hopping@HBV,KGE,macos_p3repro,0.900494,native_windows,0.900494,0.000000,OK
cal_ensemble_hbv_bayesian_opt@HBV,KGE,macos_p3repro,0.891868,native_windows,0.891868,0.000000,OK
cal_ensemble_hbv_cmaes@HBV,KGE,macos_p3repro,0.917988,native_windows,0.928871,0.010883,OK
cal_ensemble_hbv_dds@HBV,KGE,macos_p3repro,0.938339,native_windows,0.938339,0.000000,OK
cal_ensemble_hbv_de@HBV,KGE,macos_p3repro,0.909082,native_windows,0.909082,0.000000,OK
cal_ensemble_hbv_dream@HBV,KGE,macos_p3repro,0.907862,native_windows,0.907862,0.000000,OK
cal_ensemble_hbv_ga@HBV,KGE,macos_p3repro,0.917801,native_windows,0.916071,0.001730,OK
cal_ensemble_hbv_glue@HBV,KGE,macos_p3repro,0.907066,native_windows,0.907066,0.000000,OK
cal_ensemble_hbv_lbfgs@HBV,KGE,macos_p3repro,0.918686,native_windows,0.906736,0.011949,OK
cal_ensemble_hbv_moead@HBV,KGE,macos_p3repro,0.938799,native_windows,0.936404,0.002395,OK
cal_ensemble_hbv_nelder_mead@HBV,KGE,macos_p3repro,0.942249,native_windows,0.942249,0.000000,OK
cal_ensemble_hbv_nsga2@HBV,KGE,macos_p3repro,0.726180,native_windows,0.890807,0.164627,DIFF
cal_ensemble_hbv_pso@HBV,KGE,macos_p3repro,0.929163,native_windows,0.929163,0.000000,OK
